,Open,High,Low,Close,Adj Close,Volume,Return,20D_MA,50D_MA,200D_MA,Momentum,Volatility,RSI,GDP,Interest Rate,PCE,UNRATE,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,ADS_Lag1,ADS_Rolling
2022-04-01,369.2200025475544,374.96260800568956,360.38391245966375,366.7917414126189,366.7917414126189,5195300.0,-0.001867164400384847,375.28180535357933,425.907949165676,542.1982881297236,-50.626143812096636,0.036965056007493884,0.0300394708462148,25215.491,0.33,17371.4,3.6,-9.46,-0.4,6.17,3.47,5.87,0.01,0.014394405161290322,0.24272074999999999,0.048055253010752676
2022-04-30,300.34999771118163,306.07349853515626,291.1890007019043,297.4144989013672,297.4144989013672,20166270.0,-0.029257910031452478,353.4620502471924,370.1554609985352,525.7824091262817,-16.69341075134278,0.044679492960097,0.05245082557638642,25805.791,0.33,17493.8,3.7,-9.46,-0.4,6.17,3.47,5.87,0.01,-0.24111726666666666,0.014394405161290322,0.005332629498207879
2022-05-01,300.34999771118163,306.07349853515626,291.1890007019043,297.4144989013672,297.4144989013672,20166270.0,-0.029257910031452478,353.4620502471924,370.1554609985352,525.7824091262817,-16.69341075134278,0.044679492960097,0.05245082557638642,25805.791,0.33,17493.8,3.7,-0.34,-0.16,8.59,1.7,3.99,0.03,-0.24111726666666666,0.014394405161290322,0.005332629498207879
2022-05-31,185.8633328392392,190.79047648111978,180.3261907668341,186.44952392578125,186.44952392578125,11981704.761904761,0.002602406549374989,217.25628531319754,300.30497167678107,494.10967053004674,-83.04868636358353,0.07264996525384093,0.061206195956975566,25805.791,0.83,17569.9,3.6,-0.34,-0.16,8.59,1.7,3.99,0.03,-0.5397736774193548,-0.24111726666666666,-0.2554988463082437
2022-06-01,185.8633328392392,190.79047648111978,180.3261907668341,186.44952392578125,186.44952392578125,11981704.761904761,0.002602406549374989,217.25628531319754,300.30497167678107,494.10967053004674,-83.04868636358353,0.07264996525384093,0.061206195956975566,25805.791,0.83,17569.9,3.6,-8.44,1.36,-6.1,1.74,-4.72,0.06,-0.5397736774193548,-0.24111726666666666,-0.2554988463082437
2022-06-30,184.89095270066034,189.52238101050966,180.5895240420387,184.84761991954986,184.84761991954986,9169176.19047619,-0.005009517071901559,187.6183335803804,224.5812188720703,457.6096636381603,-36.962885291689915,0.04303425509164015,0.03911839305273488,25805.791,1.58,17747.6,3.6,-8.44,1.36,-6.1,1.74,-4.72,0.06,-0.4079173866666667,-0.5397736774193548,-0.3962694435842294
2022-07-01,184.89095270066034,189.52238101050966,180.5895240420387,184.84761991954986,184.84761991954986,9169176.19047619,-0.005009517071901559,187.6183335803804,224.5812188720703,457.6096636381603,-36.962885291689915,0.04303425509164015,0.03911839305273488,25805.791,1.58,17747.6,3.6,9.57,1.83,-4.03,0.85,-6.82,0.08,-0.4079173866666667,-0.5397736774193548,-0.3962694435842294
2022-07-31,196.2335006713867,202.32900161743163,192.66450042724608,199.08899993896483,199.08899993896483,13504185.0,0.013237052628198503,185.37417545318604,186.66054028320315,416.3886445732117,-1.2863648300170922,0.03768114516328927,0.035655811352110545,26272.011,2.32,17744.0,3.5,9.57,1.83,-4.03,0.85,-6.82,0.08,0.26884404258064515,-0.4079173866666667,-0.2262823405017921
2022-08-01,196.2335006713867,202.32900161743163,192.66450042724608,199.08899993896483,199.08899993896483,13504185.0,0.013237052628198503,185.37417545318604,186.66054028320315,416.3886445732117,-1.2863648300170922,0.03768114516328927,0.035655811352110545,26272.011,2.32,17744.0,3.5,-3.77,1.52,0.29,-4.79,1.33,0.19,0.26884404258064515,-0.4079173866666667,-0.2262823405017921
2022-08-31,232.72652203103772,237.50130363132644,229.47304236370584,233.02652176566747,233.02652176566747,6619926.0869565215,7.618728115880688e-05,223.74806561677352,201.8047135195525,372.00280034604276,21.943352097221045,0.03216340364151469,0.028664165248364924,26272.011,2.33,17897.5,3.6,-3.77,1.52,0.29,-4.79,1.33,0.19,0.2711618709677419,0.26884404258064515,0.04402950896057345
2022-09-01,232.72652203103772,237.50130363132644,229.47304236370584,233.02652176566747,233.02652176566747,6619926.0869565215,7.618728115880688e-05,223.74806561677352,201.8047135195525,372.00280034604276,21.943352097221045,0.03216340364151469,0.028664165248364924,26272.011,2.33,17897.5,3.6,-9.35,-1.04,0.02,-1.46,-0.79,0.19,0.2711618709677419,0.26884404258064515,0.04402950896057345
2022-09-30,231.14571562267486,237.2942860921224,226.54476129441034,232.11381167457216,232.11381167457216,11139080.952380951,0.003119144231009457,230.96757205781483,222.69303853352864,324.70865517389205,8.274533524286179,0.030154401592878178,0.033367904510101395,26272.011,3.08,17987.2,3.5,-9.35,-1.04,0.02,-1.46,-0.79,0.19,0.090065115,0.2711618709677419,0.2100236761827957
2022-10-01,231.14571562267486,237.2942860921224,226.54476129441034,232.11381167457216,232.11381167457216,11139080.952380951,0.003119144231009457,230.96757205781483,222.69303853352864,324.70865517389205,8.274533524286179,0.030154401592878178,0.033367904510101395,26272.011,3.08,17987.2,3.5,7.83,1.88,8.06,3.31,6.62,0.23,0.090065115,0.2711618709677419,0.2100236761827957
2022-10-31,255.22381228492372,262.7714269728888,249.5642845517113,256.2680954706101,256.2680954706101,15964942.857142856,0.011256926616585495,238.94392947242375,234.69448637462799,285.7123125239781,4.249443097795759,0.039493282021114365,0.0440669963484139,26734.277,3.08,18096.2,3.6,7.83,1.88,8.06,3.31,6.62,0.23,-0.1388230712903226,0.090065115,0.07413463822580645
